S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
43,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Dist.","M/s. MegaGen Implant Co.
Ltd., 472 Hanajaggun-ro,
Jain-myeon, Gyeongsan-si,
Korea, Reublic of 712-852","1. a) Anyone Internal Fixutes
(Noraml thread, Deeep thread
& special thread)/Dental
Implant
b) AnyOne Gold
Abutments/Dental Implant
2.AnyOne CCM
Abutments/Dental Implant
3. AnyOne Zirconia
Abutments/Dental Implant
4. AnyOne Titanium
Abutments/Dental Implant
5. XPEED AnyRidge Internal
Imaplant System/Dental
Implant",31-1491-MD/2014-DC,,MD-1491,03.02.2015,31.12.2017,,
44,"M/s. Abbott Healthcare Pvt.
Ltd., 4 Corporate Park,","M/s. Abbott Vascular, 3200
Lakeside Drive, Santa Clara,","1. MINI TREK II
OTW/Coronary Dilatation","31-1230-MD/2012-DC
End. 05",,MD-1230,03.02.2015,31.03.2016,,
,"Sion Trombay Road,
Chembur, Mumbai -
400071","California 95054, USA
having manufacturing site at
M/s. Abbott Vascular Costa
Rica, 52 Calle 3, B31, Coyol
Free Zone, EI Coyol Aajuela,
Costa Rica, USA",Catheter,,,,,,,
45,"M/s Fresenius Kabi India
Pvt Ltd., A-3, MIDC, 2nd
Floor, Near conforance
Room, Ranjangaon
Ganpati Tal. Shirur, (Pune-
Zone 1) Pin 412220","M/s Fresenius Kabi Ag, D-
61346 Bad Homburg,
Germany having factory
premises at M/s Fresenius
Hemocare Italia S.R. I. Via
Santi, 293, I-41032 Cavezzo
Modena, Italy","1. Bio R Filters/Disposable
Perfusion Sets
2. Bio R Filters/Disposable
Perfusion Sets
3.Bio R Filters/Disposable
Perfusion Sets
4. Bio R Filters/Disposable
Perfusion Sets
5. Bio P Filters/Disposable
Perfusion Sets
6. Bio P Filters/Disposable
Perfusion Sets
7. Bio P Filters/Disposable
Perfusion Sets","31-1091-MD/2012-DC
(Re-Reg. 01)",,MD-1091,03.02.2015,28.02.2018,,
46,"M/s. St. Jude Medical India
Pvt. Ltd., D.No. 8-3-
168/B/1, Plot No.18 & 19,
Laxmi Nagar, MCH Circle-
5, Hyderabad Dist.","M/s. St. Jude Medical, 177
Country Road B, East, St.
Paul, MN 55117
having factory premises at
M/s. St. Jude Medical Brasil
Ltda. Rua Professor Jose De
Mendonca, 1301 Bairro
Engenho Nogueira, Belo
Horizonte-MG-31.310-260,
Brazil","1. Biocor™ Valve Aortic and
Mitral 2. Epic™ Valve Aortic
an dMitral 3. Trifecta™
Valve Aortic
5. Biocor/Bovine Pericardial
Patch","31-943-MD/2011-DC
(Re-Reg. 01)",,MD-943,03.02.2015,15.06.2018,,
47,"M/s. Clairvoyance
Consulting, No. 801, 8th
Floor, Indra Prakash
Building, 21 Barakhamba
Road, New Delhi-110001","M/s. Spectranetics
Corporation 9965 Federal
Drive, Colorado Springs,
Colorado 80921","1. SightRail/Coronary
Dilatation Catheter","31-1326-MD/2013-DC
(End. 02)",,MD-1326,09.02.2015,31.05.2017,,
48,"M/s. Clinicare (India) Pvt.
Ltd. 801, ""A"" Eureka
Towers, 8th Floor, Mind
Spance, Goregaon, Malad
Link Road, Malad (West),
Mumbai, 400006,
Maharashtra","M/s. Gerresheimer Buende
GmbH Erich-Martens-
Strasse, 26-32, 32257
Buende, Germany","1. Gerresheimer/Dispoable
Hypodermic Syringe",31-1522-MD/2014-DC,,MD-1522,11.02.2015,15.01.2018,,
49,"M/s. Becton Dickinson
India Private Limited, No.
34, Assisi Nagar, West
Thottam, Madhavram,
Chennai-51","M/s. Becton Dickinson &
Company (BD), 1 Becton
Drive, Franklin Lakes, NJ,
07417, USA having factory
premises at
M/s. BD Medical Diabetes
Care, 1329 est Highway # 6,
Holdrege, Nebraska, 68949,
USA","1. Insuline Syringes (Sterile,
Single use)","31-825-MD/2010-DC
(Re-Reg. 01) End. 01",,MD-825,11.02.2015,14.12.2016,,
50,"M/s. Abbott Healthcare Pvt.
Ltd., 4 Corporate Park,
Sion Trambay Road,
Chembur, Mumbai-400071
Maharashtra","M/s. Abbott Vascular, 3200
Lakeside Drive, Santa Clara,
California 95054, USA
having factory premises at
M/s. Abbott Vascular, Cashel
Road, Clonmel, County
Tipperary, Ireland","1. Armada 14/Percutaneous
Transluminal Angioplasty
Catheter","31-306-MD/07-DC (Re
Reg.02) End.03",,MD-306,11.02.2015,31.05.2016,,
51,"M/s. Boston Scientific India
Pvt Ltd., C-41 Ground
Floor, Okhla Industrial Area
Phase-II, New Delhi-
110020","M/s. Boston Scientific
Corporation, One Boston
Scientific Place, natick, MA
01760, USA having factory
premises at
M/s. Boston Scientific
Corporation, 780 Brookside
Drive, Spencer, IN 47460,
USA","1. Accustick™ Introducer
System/Introducer System
2. Accustick™ II Introducer
System/Introducer System","31-162-MD/2006-DC
(Re-Reg. 02) End. 05",,MD-162,11.02.2015,15.06.2016,,
52,"M/s. Johnson & Johnson
Ltd., A-1/50, room No. 2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: Pardi (Valsad),
Gujarat","M/s. DePuy Mitek, A Johnson
& Johnson Company, 325
Paramount Drive, Raynham,
Massachusetts 02767, USA
having factory premises at",1. Orthocord/Suture,31-1572-MD/2014-DC,,MD-1572,11.02.2015,31.01.2018,,
,,"M/s. Johnson & Johnson do
Brasil Industria e Comercio
do Productos Para Saude
Ltda., Rod. Presidente Dutra,
KM 154, Sao Jose dos
Campos, San Paulo 12240-
908 Brasil",,,,,,,,
53,"M/s. Bard India Healthcar
Pvt. Ltd., 201, 5th Floor,
Hubtown Solaris, N.S.
Phadke Marg, Andheri
(E),Mumbai-400069","M/s. SenoRx, Inc. 1625 W
3rd St Tempe, AZ USA 85281
having factory premises at
M/s. Infus Medical (Thailand)
Co., Ltd. 706 MOO 4,
Bangpoo Industrial Estate, I-
EA-T Free Zone, Tambon
Preaksa, Amphoe Muang
Samutprakarn, Samutprakarn
Province, Samut Prakan
Thailand 10280","1. EnCor Ultra™ Breat Biospy
System/Biospy Needles",31-1514-MD/2014-DC,,MD-1514,11.02.2015,15.01.2018,,
54,"M/s. Carl Zeiss India
(Bangalore) Pvt. Ltd., Plot
No.3, Jigani LINK Road,
Bommsandra Industrial
Area, Bangalore - 560099","M/s Hyaltech Ltd starlaw
Business Park, Livingston
EH54 8SF, UK","1. Z-Hyalin/Sodium
Hyaluronate Prefilled Syringe
(10.00 mg/ml)
2. Z-Hyalin plus/Sodium
Hyaluronate Prefilled Syringe
(15.00 mg/ml)","31-1052-MD/2011-DC
(Re-Reg. 01)",,MD-1052,11.02.2015,15.01.2018,,
55,"M/s. Johnson & Johnson
Ltd., J-1, Gr. Floor, Gala
No. 1 to 10 Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Tal: Bhiwandi-15 (Thane-
Zone5) Pin: 421302","M/s. Cordis Corporation,
14201, North West, 60th
Avenue, Miami Lakes,
Florida, 33014, USA
having factory premises at
M/s. Lake Region Medical,
340 Lake Hazeltine Drive,
Chaska MN 55318, USA","1. Stabilizer/Steerable
Guidwire with radiopaque
platinum alloy coil on distal tip
2. Angioguard/Emboli
Capture Guidewire system
3. Jindo/Steerable Guidewire
with radiopaque platinum
alloy coil on distal tip
4. SV .018/Steerable
Guidwire","31-1050-MD/2012-DC
(Re-Reg. 01) 2015",,MD-1050,11.02.2015,31.01.2018,,
56,"M/s. Cochlear Medical
Device Company India
Private Limited, Unit No. G-
3, Gr. Floor, Platina","M/s. Cohclear Ltd., 1
University Aveune, Macquarie
University, NSW, 2109,
Ausralia having factory","1. Nucleus/Cochlear Implant
with Straight electrode
2. Nucleus Freedom/1)
Cochlear impalnt with",31-1565-MD/2014-DC,,MD-1565,11.02.2015,31.01.2018,,
,"Building, CTS No. 4207C-
59, G Block, Bandra Kurla
Complex, Bandra (East),
Mumbai, Tal: Bandra East
(Mumbai-Zones4) Pin:
400051","premises at
M/s. Cochlear Ltd., 14 Mars
Road, Lane Cove NSW 2066
Australia","Contour advance electrode
2)Cochlear implant with
straight electrode",,,,,,,
57,"M/s. Johnson & Johnson
Ltd., J-1, Gr. Floor, Gala
No. 1 to 10 Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Tal: Bhiwandi-15 (Thane-
Zone5) Pin: 421302","M/s. Cordis Corporation,
14201, North West, 60th
Avenue, Miami Lakes,
Florida, 33014, USA having
factory premises at
M/s. Lake Region Medical,
340 Lake Hazeltine Drive,
Chaska MN 55318, USA","1. Stabilizer/Steerable
Guidwire with radiopaque
platinum alloy coil on distal tip
2. Angioguard/Emboli
Capture Guidewire system
3. Jindo/Steerable Guidewire
with radiopaque platinum
alloy coil on distal tip
4. SV .018/Steerable
Guidwire","31-1050-MD/2012-DC
(Re-Reg. 01) 2015",,MD-1050,11.02.2015,31.01.2018,,
58,"M/s. St. Jude Medical India
Pvt. Ltd., D. No. 8-3-1/B/1,
Plot NO. No. 18 %& 19,
Laxmi Nagar, Behind T.B.
Hospital, MCH Circle-5,
Mandal, Hyderabad Dist","M/s. St. Jude Medical Atrial
Fibrillation Inc, 14901
DeVeau Place, Minnetonka,
MN 55345-2126","1. Livewire™ Steerable
Electrophysiology Catheters-
BDB/CSL/Spiral Hp/Dual
Purpose/Catheter
2. Livewire TC™ Ablation
Catheters-
Biodirectional/Universal
Temperature
Monitoring/Catheter
3. Response™
Electrophysiology
Catheters/Catheter
4.Supreme™
Electrophysiology
Catheters/Catheter
5. Safire™ Ablation
Catheteres/Catheter
6. Reflexion Spiral™ Variable
Radius Catheters/Catheter
7. Fast-Cath™ Guiding
Introducer/Introducer
8. Fast-Cath™ Transseptal
Guiding Introducer/Introducer","31-22-MD/2006-DC (Re-
Reg. 03)",,MD-22,11.02.2015,30.06.2018,,
,,,"9. BRK™ Transseptal
Needle/Accessories
10. Agilis NxT™ Steerable
Introducer/Introducer
11. Swartz™ Braided
Transseptal Guiding
Introducer
12. SJM Peel Away
Introducer/Introducer
13. Ensite Array/Multi-
electrode Diagnostic Catheter",,,,,,,
59,"M/s. Hester Diagnostics
Pvt. Ltd., 205, Jolly Bhavan
No. 1, Mumbai, Tal:
;Marine Line (Mumbai-
Zone 1) Pin: 400020","M/s. Embo-Flussigkeiten Ag.,
Route des Avouillons 30, CH-
1196 Gland Switzerland","1. Squid/Liquid Embolic
Agent",31-1498-MD/2014-DC,,MD-1498,12.02.2015,31.01.2018,,
60,"M/s. Cook India Medical
Devices Pvt. Ltd., 4/249 A,
rasim Enclave,
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai -
600056","M/s. William Cook Europe
Aps.Sandel 6,4632
Biaeverskov,Denmark","1. MicroFerret Infusion
Catheters & MicroFerret
Infustion Catheter
Sets/Selective Infusion
Catheter and Sets
2. Gunther Tulip Vena Cava
Filter Sets and Cook Celect
Vena Cava Filer Sets/Vena
Cava Filter Sets
3. Frova Itubating Introducer
and Frova Intubating
Catheter/Respiratory
Management Catheters
4. Zenith TX2 TAA
Endovascular
Graft/Endovascular Stent
Grafts
5. Osteo-Site Vertebroplasty
Producer Pack/Producer
Packs","31-209-MD/2006-DC
(Re-Reg. 02)",,MD-209,12.02.2015,15.01.2018,,
61,"M/s. Johnson & Johnson
Ltd., J-1, Shree Arihant
Complex, Village-Kalher,","M/s. Ethicon LLC., 475 C
Street, Los Fralies Industrial
Park, Guaynabo, Puerto Rico","1. Vicryl Rapide (Polyglactin
910) Synthetic Absorbable
Suture/Sutures","31-1092-MD/2012-DC
(Re-Reg. 01)",,MD-1092,12.02.2015,31.07.2018,,
,"Thane- Bhiwandi Road,
Distt. Thane, Bhiwandi","00969, USA
Having manufacturing site at
M/s. Johnson & Johnson do
Brasil Industria E Commerce
De Productos Para Saude
Ltda., Presidente Dutra, KM
154, Sao Jose Dos Campos,
Sao Paulo, Brasil, CEP
12240-908",,,,,,,,
62,"M/s. St. Jude Medical India
Pvt. Ltd.,D. No.8-3-
168/B/1, Plot No.18 & 19,
laxmi Nagar,Behind
T.B.Hospital, MCH Circle-5
Mandal, Hyderabad","M/s. St. Jude Medical, 14901
DeVeau Place, Minnetonka,
MN-55345-2126, USA","1. Pacel™ Bioplar Pacing
Catheter/Catheter
2. Angio-Seal™ Vascular
Closure Device STS PLUS
Platform/Vascular Closure
Device
3. Angio-Seal™ Vascular
Closure Device VIP
Platform/Vascular Closure
Device
4. Angio-Seal™ Evolution
Vascular Closure
Device/Vascular Closure
Device
5. Fast-Cath™ Hemostasis
Introducer
6. Fast-Cath™ Duo
Hemostasis Introducer
7. Fast-Cath™ Trio
Hemostasis Introducer
8. GuideRight™ Guidewire
9. Luer Cap; Hemostais Valve
Adapter; Vessel Dilator;
Repositioning Sleeve; Sheath
Obturator; Contamination
Cover/Protective
Cap/Accessories
10. Engage™ Introducer
11. Engage™ TR Introducer
12. EnligHTN/Guiding","31-22(A)-MD/2006-DC
(Re-Reg. 03) 2015",,MD-22(A),12.02.2015,30.06.2018,,
,,,"Catheter
13. Livewire™ Diagnostic
Catheter MediGuide
Enabled™",,,,,,,
63,"M/s. Emergo (India)
Consulting Private Limited.,
H. No. 8/1, First Floor,
Vasavi Colony Kakaguda,
Near Picket,
Secunderabad, MCH
Circle-7, Mandal,
Hyderabad Dist.","M/s. Geistlilch Pharma AG
Bahnohfstrasse 40, 6110
Wolhusen, Switzerland","1. Geistlich Bio-
Gide/Resorbable Bilayer
Membrane
2. Geistlich Bio-Oss Granules
and Block/Spongious Bone
Sustitute
3. Geistlich Bio-Oss
Pen/Spongious Bone
Sustitute",31-1490-MD/2014-DC,,MD-1490,12.02.2015,15.01.2018,,
64,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial Area
Phase-II, New Delhi-20.","M/s. Creganna Tactx Medical,
Parkmore West, Galway","1. Zurpaz Steerable
Sheath/Steerable Sheath",31-1557-MD/2014-DC,,MD-1557,13.02.2015,31.01.2018,,
65,"M/s. Serum Institute of
India Limited 212/2,
Hadapsar, Pune-411028","M/s. PharmaJect Inc., 400
Corporate Circle, Suite N
Golden, Colorado 80401 USA
Having manufacturing
premises at
M/s. Phillips Plastics
Corporation, 415 Red Cedar
Street, Menomonie,
Wisconsin 54751, USA","1. PharmaJet Statis Needle-
Free Syringe (Single-
Up)/Needle-Free Injection
2. PharmaJet Stratis Needle-
Free Syringe (10-Up)/Needle-
Free Injection
3. PharmaJet Stratis Filing
Adapter (Single-Up) Filling
Adapter",31-1457-MD/2014-DC,,MD-1457,13.02.2015,15.01.2018,,
66,"M/s. India Medtornic Pvt.
Ltd. Plot No. 609,
Survery/Shed-188 (Part),
Chamunda Comp.,
Kasheli Village, Dist Thane
Bhiwandi-401301,
Maharashtra.","M/s. Changzhou Kanghui
Medical Innovation Co., Ltd.
No. 11 North Changjiang
Road, Xienbei Zone,
Changzhou, Jiangsu China
213022","1. Bone Plates (Non Sterile)-
Platinum
2. Bone Plates (Non Sterile)-
Titanium
3. Bone Screws (Non Sterile)
4. Intramedullalry Nails (Non
Sterile)-Stainless Steel
5. Intramedullary Nails (Non
Sterile)-Titanium Alloy
6. General Spine System
(Non Sterile)
7. KPB Kyphoplastly",31-1461-MD/2014-DC,,MD-1461,16.02.2015,31.01.2018,,
,,,"System/Kyphoplalsty Balloon
Tube
8. Wires & Pins/Bone Pins
(Non Sterile)
9. External Fixator
System/External Fixators
(Non Sterile)",,,,,,,
67,"M/s. Johnson & Johnson
Ltd., A-1/50, Room No.2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: Pardi (Valsad)","M/s. Medos Sarl, Rue du
Puits, Godet 20 Neuchatel,
Switzerland",1. ORTHOCORD/Suture,"31-1141-MD/2012-DC
(End. 01)",,MD-1141,16.02.2015,15.0702016,,
68,"M/s. St. Jude Medical India
Pvt. Ltd. D.No. 8-3-168/B/1
Plot No. 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circle-5
Mandal Hyderabad Dist.","M/s. St. Jude Medical 177
Country Road B E, Saint
Paul, MN, USA 55117","1. SJM Mechanical Heart
Valve SJM Master Series
(Rotatable)-Aortic
2. SJM Mechanical Heart
Valve-SJM Master Series
(Rotatable)-Mitral
3. SJM Mechanical Heart
Valve-SJM Master Series
(Rotatable)-Aortic
Hemodynamic Plus
4. SJM Mechanical Heart
Valve (Non Rotatale)-Aortic
5. SJM Mechanical Heart
Valve (Non Rotatable)-Mitral
6. SJM Reagent Mechanical
Heart Valve (Rotatable)
7. SJM Master Series Coated
Aortic Valved Graft
(Rotatable)
8. SJM Tailor Annuloplasty
Ring
9. SJM Rigid Saddle
Annuloplasty Ring
10. Attune™ Flexible
Adjustable Annuloplasty Ring
11. AJM Seguin Annuloplasty
Ring
12. Trifecta™ Valve Aortic","31-26-MD/2006-DC (Re-
Reg. 03)",,MD-26,16.02.2015,30.06.2018,,
,,,(19mm -29mm),,,,,,,
69,"M/s. Reckitt Benckiser
(India) Pvt. Ltd., C/o Toll
Logistics (India) Pvt. Ltd.,
82, Panapakkam Village,
Periyapalayam High Road,
Uthukottai Taluk,
Thiruvallur-601102","M/s. Reckitt Healthcare (UK)
Ltd., Danson Lane Hull, HU8
7DS, United Kingdom
Having manufacturing site at
M/s. Qiagndo London Durex
Co., Ltd., No 1-13 Shangma
Part, Aodong Road High-
Tech Industrial Development
Zone Qingdao, China-266114","1. Natual Rubber Latex
Condoms",31-1407-MD/2013-DC,,MD-1407,19.02.2015,31.02.2018,,
70,"M/s. Osstem Implant India
Private Limited, Office No.
418, 4th Floor, A Wing,
""Sagar Tech Plaza"",
Sakinaka, Andheri-Kurla
Road, Andheri (E),
Mumbai-400072","M/s. Osstem Implatn Co., Ltd.
2013, Geoje-daero, Yeonje-
gu, Busan, 611-804, Korea","1. Dental Implant Fixtures
2. Dental Impant System
Prosthetics","31-965-MD/2011-DC
(Re-Reg. 01)",,MD-965,19.02.2015,31.01.2018,,
71,"M/s. Biotronik Medical
Devices India Pvt. Ltd.,
Unit No. 805, 806 & 807,
8th Floor, Commerical
Complex DLF Tower-B
Jasola, New Delhi-110044","M/s Biotronik AG Ackerstasse
6, 8180 Bulach, Switzerland","1. Synsiro/Sirolimus Eluting
Coronary Stent System","31-461-MD/2008-DC
(Re-Reg. 02) End. 02",,MD-461,19.02.2015,30.04.2017,,
72,"M/s. Bard India Healthcare
Pvt. Ltd., 501,5th
Floor,HubtownSolaris, N.
S. Pahdke Marg, Andheri
E, Mumbai-400069","M/s. Davol Inc., Subsidiary of
C.R. Bard Inc., 100 Crossings
Boulevard Warwick, Rhode
Island, USA 02886 Having
manufacturing site at
M/s. Bard Shannon Ltd., San
Geronimo Industrial Park Lot
# 1, Road # 3, KM 79.7,
Humacao, Puerto Rico 00791","1. PerFix™ Light Plug/Mesh
2. Bard 3D Max™ Light
Mesh/Mesh","31-1349-MD/2013-DC
(End. 02)",,MD-1349,20.02.2015,15.01.2017,,
73,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
HubTown, Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai-400069","M/s Bard Access System
Inc.., 605 N, 5600 W, Salt
lake City, Utah 84116, U.S.A
Having manufacturing site at
M/s Bard Reynosa S.A DE
C.V., Blvd. Montebello No.1","1. Hemodialysis Catheter with
or without preloaded Stylet
2. Catheter
3. Catheter with Sherloc 3CG
Tip Positioning Syste (TPS)
Stylet","31-762(A)-MD/09-DC
(End.01)",,MD-762,20.02.2015,15.01.2017,,
,,"Parque Industrial Colonial,
Reynosa, Mexico 88780","4. Implantable Port with
Attached 6F ChronoFlex
Open-ended Single-lumen
Venous Catheter
5. Implantable Port with
Suture Plugs",,,,,,,
74,"M/s. KMS Medisurgi Pvt.
Ltd., Shop No. 7, 44
Mangaldas Road,
Bulakhidas Building,
Mumbai, Tal: Princess
Street (Mumbai-Zone I)
Pin: 400002","M/s. Mascia Brunelli S.p.A
Vie Monaz, 272-20128
Milano-Italy","1. Cutanplast/ Hemostatic
Gelatin Sponge",31-1443-MD/2014-DC,,MD-1443,20.02.2015,31.01.2018,,
75,"M/s. Boston Scientific India
Pvt Ltd., C-41 Ground
Floor, Okhla Industrial Area
Phase-II, New Delhi-
110020","M/s. Boston Scientific
Corporation, One Boston
Scientific Place, natick, MA
01760-1537, USA Having
manufacturing site at
M/s. Boston Scientific
Corporation, 780 Brookside
Drive, Spencer, IN 47460,
USA","1. C-Flex Biliary Stent/Biliary
Stent","31-162-MD/2006-DC
(Re-Reg. 02) End. 07",,MD-162,23.02.2015,15.06.2016,,
76,"M/s. Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Sofradim Production 116
Avenue du Formans-01600,
Trevous, FRANCE","1. Symbotex™ Compostie
Mesh/Polyster Mesh with
porcine collagen and glycerol
hydrophilic film","31-933-MD/2011-DC
(Re-Reg. 01) End. 02",,MD-933,23.02.2015,15.07.2017,,
77,"M/s. Johnson & Johnson
Ltd., A-1/50, Room N O. 2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: PARDI
(VALSAD) Gujarat","M/s. Depuy (Ireland)
Loughbeg, Ringaskiddy, Co.
Cork, Ireland","1.Pinnacle Hip Sysem-M
Spec Heads/Orthopaedic
Implant
2. Modular Fermoral Heads-
Ultmet/Orthopaedic Implant
3. Attune CR/PS Knee
System-Tibial
base/Orthopaedic Implant
4. Attune CR/PS Knee
System-Tibial
Insert//Orthopaedic Implant","31-1003-MD/2011-DC
(Re-Reg. 01)",,MD-1003,26.02.2015,30.04.2018,,
,,,"5. Attune CR/PS Knee
System-Patella/Orthopaedic
Implant
6. Attune CR/PS Knee
System-Femoral/Orthopaedic
Implant
7. LCS Complete Primary
Knee System-
Patella/Orthopaedic Implant
8. Global Unite Shoulder
System-Humeral
Stems/Orthopaedic Implant
9. Global Unite Shoulder
System-Epiphyseal
Components/Orthopaedic
Implant
10. Global Unite Shoulder
System-Collars/Orthopaedic
Implant",,,,,,,
78,"M/s. Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Sofradim Production 116
Avenue du Formans-01600,
Trevous, FRANCE","1. Parietene™ Composite
Mesh/Polyprophylene Mesh
2. Progrip™ Self-Gripping
Polypropylene
Mesh/Polypropylene Mesh
3. Progrip™ Self-Gripping
Polyster Mesh/Polyster Mesh","31-933-MD/2011-DC
(Re-Reg. 01) End. 01",,MD-933,23.02.2015,15.07.2017,,
79,"M/s. Reckitt Benckiser
(India) Pvt. Ltd., C/o Toll
Logistics (India) Pvt. Ltd.,
82, Panapakkam Village,
Periyapalayam High Road,
Uthukottai Taluk,
Thiruvallur-601102","M/s. Reckitt Benckiser
Healthcare (UK) Ltd.,
Dansom Lane Hull, HU8 7DS,
United Kingdom Having
manufacturing site at
M/s. SSL Manufacturing
(Thailand) Ltd., Wellgrow
Industrial Estate, 100 Moo 5,
Banga-Trad, RD KM#36,
Bangsamak, Bangpakong,
Chachoengsao 24180,
Thailand","1. Natural Rubber Latex Male
Condoms- (Lubricated
Finished)
2. Natural Rubber Latex
Condoms-(Lubricated Bulk
Foiled)
3. Synthetic
Rubber/Polyisoprene
Condoms-(Lubricated)",31-1348-MD/2013-DC,,MD-1348,23.02.2015,31.01.2018,,
80,M/s. Becton Dickinson,"M/s. Becton Dickinson SA,",1. BD Microlance™,31-1033-MD/2011-DC,,MD-1033,23.02.2015,31.03.2018,,
,"India Private Limited, No.
34, Assisi Nagar, West
Thottam, Madhavram,
Chennai-51","Ctra. Mequinenza s/n 22520
Fraga, Huesca, Spain","3/Disposable Hypodermic
Needles
2. BD Discardit™ II, BD
Emerald™ II/Disposable
Hypodermic Needles
3. BD Discardit™ II, BD
Emerald™/Disposable
Hypodermic Syringes with
Needles
4. BD Soloshot™ IX; BD
Soloshot™ Mini/Auto Disable
Syringes
5. BD Solomed™/Two Piece
Syringes with Breakable
Plunger
6. BD Solomed™/Two Piece
Syringes with Breakable
Plunger with Needles
7. BD Emeralds™
Pro/Disposable Hypodermic
Reuse prevention syringes
with Needles",(Re-Reg. 01),,,,,,
81,"M/s. Smith & Nephew
Healthcarea Pvt. Ltd., Bldg
2-3, & 15-17 Rajlaxmi
Complex, Opp. Hanuman
Bus Stop, Kalher, Thane –
Bhiwandi Road, Thane –
421302, India","M/s Smith & Nephew Medical
Limited,
having factory premises at
101 Hessle Road, Hull, HU3
2BN, United Kingdom.","1. OPSITE Post-
Op/Hydrophilic Polyrrethane
film wound dressing
2. OPSITE
Flexigrid/Transparent
polyurethane film dressing
3. CICA-CARE Silocone Gel
Sheet (Non-
Sterile)/Transparent Gel
Sheet
4. OPSITE Film Dressing-
Incise Drapes/Translucent
polyurethane film dressing
5. INTRASITE Gel-
Hydrogel/Carboxymethyl
cellulose polymer gel wound
dressing","31-969-MD/2011-DC
(Re-Reg. 02)",,MD-969,26.02.2015,15.02.2018,,
